author,email,arxiv_id,published,title
Varna Puvvada,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Feng Shi,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Matt Steiner,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Ruichao Xiao,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Nathan Yan,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Xiayu Yu,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Zhou Fang,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Roman Levenstein,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Kunming Ho,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Haishan Zhu,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Alec Hammond,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Richard Li,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Ajit Mathews,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Kaustubh Gondkar,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Abdul Zainul-Abedin,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Ketan Singh,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Hongtao Yu,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Wenyuan Chi,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Barney Huang,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Sean Zhang,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Noah Weller,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
